"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C17","6","C","","","","",""
"C6,C10,C13,C14","4","100nF","","","","",""
"C7,C9,C11","3","1uF","","","","",""
"C8","1","10nF","","","","",""
"C12","1","10uF","","","","",""
"C15,C16","2","15pF","","","","",""
"D2","1","W10G","","","","Diode_THT:Diode_Bridge_Round_D9.8mm","https://www.vishay.com/docs/88769/woo5g.pdf"
"J1","1","Conn_01x05_Socket","","","","",""
"J2","1","Screw Terminal (AC Input)","","","","",""
"J3","1","Screw Terminal (Load)","","","","",""
"J4","1","Conn_01x04_Socket","","","","",""
"Q1","1","BTA16-600B","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/bta16.pdf"
"R2","1","Potentiometer","","","","",""
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","10","R","","","","",""
"U1","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf"
"U2","1","TLP3021","","","","Package_DIP:Toshiba_11-7A9","https://toshiba.semicon-storage.com/info/docget.jsp?did=1421&prodName=TLP3021(S)"
"U3","1","LF33_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/c4/0e/7e/2a/be/bc/4c/bd/CD00000546.pdf/files/CD00000546.pdf/jcr:content/translations/en.CD00000546.pdf"
"U4","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"U5","1","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"Y1","1","ABM8-40.000MHZ-B2-T","","","","ABM8-40.000MHZ-B2-T:XTAL_ABM8-40.000MHZ-B2-T",""
